Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Кириленко,Соломія,Миколаївна,Жінка,1979-06-24,Няня,село Володимир-Волинський,"провулок Студена, буд. 211 кв. 9, Старобільськ, 40338",037 480 75 58,nestor71@example.com
Артимович,Оксана,Дмитрівна,Жінка,1994-08-07,Соціолог,хутір Амвросіївка,"вулиця Локомотивний 3-й, буд. 58 кв. 15, Молочанськ, 32890",+380 82 732-05-88,viraiemets@example.net
Зайченко,Наталія,Борисівна,Жінка,1960-08-24,Намотувальник,хутір Андрушівка,"проспект Артилерійський 2-й, буд. 431, Жовті Води, 48796",841 47 43,dgalagan@example.com
Андрієвич,Амалія,Степанівна,Жінка,1988-02-10,Ґрунтознавець,місто Кілія,"шосе Демократична, буд. 95, Южноукраїнськ, 97505",+380 89 789 20 41,makarhavrylets@example.org
Салій,Одарка,Андріївна,Жінка,1942-12-15,Електротехнік,селище Ровеньки,"вулиця Новосельского, буд. 71 кв. 60, Суходільськ, 78972",003 082-69-07,feofan28@example.org
Андрієвич,Герман,Андрійович,Чоловік,1948-05-24,Програміст,селище Хотин,"вулиця Чорноморський 4-й, буд. 1 кв. 6, Миколаївка , 71208",066 688-74-12,panteleimonkorolenko@example.org
Коваленко,Святослав,Борисович,Чоловік,1953-07-24,Біолог,селище Валки ,"провулок Чайковського, буд. 2 кв. 159, Дубляни, 90517",+380 56 975 08 39,baidakhennadii@example.net
Адамчук,Наталія,Георгіївна,Жінка,1965-12-17,Кінолог,селище Шахтарськ,"парк Багрицького, буд. 551, Бобринець, 83078",038 56 88,volodymyr83@example.org
Онищенко,Святослава,Романівна,Жінка,1999-02-28,Хореограф,хутір Олевськ,"вулиця Баштанна, буд. 329 кв. 34, Чернівці, 49785",169 34 53,jvlokh@example.org
Онуфрієнко,Леонтій,Тарасович,Чоловік,1970-05-24,Художник,село Гнівань,"шосе Вокзальна, буд. 516 кв. 5, Сміла, 95154",427 06 32,dradchenko@example.com
Бандурка,Веніямин,Іванович,Чоловік,1958-09-03,Скульптор,хутір Оріхів,"провулок Жевахова, буд. 08, Кипуче, 26395",+380 10 019-74-84,jisaievych@example.net
Чабан,Ліза,Сергіївна,Жінка,2003-08-27,Парфюмер,селище Золочів,"сквер Обсерваторний, буд. 691 кв. 09, Кам'янське, 47455",+380 95 731-78-87,riabetsparmen@example.org
Гузенко,Ярема,Максимович,Чоловік,1955-07-24,Круп'є,хутір Нікополь,"сквер Розкидайлівська, буд. 87 кв. 834, Городище , 20918",400-47-00,iustym69@example.net
Романенко,Пріска,Олегівна,Жінка,2004-07-31,Петрограф,місто Великі Мости,"сквер Балтська дорога, буд. 124 кв. 8, Гайворон, 99088",+380 01 939-11-22,romanshapoval@example.net
Даценко,Кирило,Миколайович,Чоловік,1991-07-04,Підприємець,село Хоростків,"провулок Французький, буд. 80 кв. 089, Мелітополь, 14955",013 803 11 05,volodymyrshakhrai@example.com
Малишко,Руслан,Романович,Чоловік,1976-07-07,Мінералог,селище Зміїв,"вулиця Лінія 39-та, буд. 091 кв. 833, Ізяслав, 47457",793 95 53,okhrim56@example.net
Демʼяненко,Соломія,Георгіївна,Жінка,2002-06-25,Музичний редактор,хутір Хирів,"узвіз Амурський 4-й, буд. 28, Вознесенівка, 81581",+380 45 679 74 47,ihorkolisnychenko@example.net
Хоменко,Остап,Павлович,Чоловік,2002-03-20,Гицель,село Херсон,"парк Неплія, буд. 639, Нетішин, 27417",+380 34 643 15 93,rostyslavdanylchuk@example.com
Іваненко,Аркадій,Максимович,Чоловік,1980-08-07,Кушнір,хутір Косів,"вулиця Чапаєва, буд. 394 кв. 7, Коломия, 91198",908-90-30,prymachenkopanas@example.com
Бабак,Левко,Іванович,Чоловік,1952-03-31,Кур'єр,село Баштанка,"шосе Штурманська, буд. 572 кв. 5, Городня, 36625",028 034 42 51,piatachenkoliudmyla@example.org
Шинкаренко,Нестор,Дмитрович,Чоловік,1958-08-01,Кінорежисер,село Городня,"шосе Коцюбинського, буд. 891, Василівка , 07309",+380 93 008-59-50,eatamaniuk@example.net
Макаренко,Пилип,Євгенович,Чоловік,1957-09-24,Дантист,селище Слов'янськ,"вулиця Курортний 6-й, буд. 5, Лиман , 73779",+380 48 876 34 54,nestor00@example.com
Давимука,Пантелеймон,Дмитрович,Чоловік,1991-12-01,Сантехнік,селище Харків,"узвіз Зернова, буд. 03 кв. 420, Лиман , 11643",+380 03 277-26-90,priska21@example.net
Мазур,Сергій,Тарасович,Чоловік,1964-08-09,Філолог,селище Березань ,"парк Дорожня, буд. 799, Бережани, 73022",081 196 95 10,qkadeniuk@example.com
Макаренко,Устим,Петрович,Чоловік,1975-02-07,Ді-джей,місто Ватутіне,"набережна Миколаївський 1-й, буд. 329 кв. 713, Зимогір'я, 89383",+380 (13) 480-66-25,arkadiiarsenych@example.com
Терещенко,Вікторія,Максимівна,Жінка,1963-04-08,Письменник,село Борислав,"шосе Безіменний, буд. 60 кв. 911, Лиман , 64454",615 63 67,rzinkevych@example.org
Бабко,Віолетта,Михайлівна,Жінка,1973-02-19,Модель,хутір Липовець,"парк Парашутний, буд. 350 кв. 5, Глобине, 89961",+380 97 955-23-86,flemeshko@example.org
Короленко,Прохір,Петрович,Чоловік,1995-01-25,Модельєр,село Балаклія,"проспект Рівний, буд. 04, Березань , 63708",402-98-85,vadym26@example.org
Щербак,Азар,Миколайович,Чоловік,1981-12-01,Музикант,хутір Курахове,"узвіз Восьмого березня 9-й, буд. 23, Стебник, 45412",067 468 50 86,shohol@example.com
Андріїшина,Едуард,Павлович,Чоловік,1947-09-10,Географ,місто Сіверськ,"площа Весела, буд. 13, Тернопіль, 56954",136-98-62,albina70@example.net
Скопенко,Єфрем,Олександрович,Чоловік,2001-08-22,Філолог,місто Моспине,"проспект Військовий узвіз, буд. 419, Верхньодніпровськ, 64501",+380 47 488 00 36,symon18@example.net
Михайлюк,Пантелеймон,Євгенович,Чоловік,1983-07-01,Маркетолог,хутір Володимир-Волинський,"шосе Тепличний 1-й, буд. 937, Долинська, 42938",+380 75 983-69-03,teodorarkhymovych@example.com
Шамрай,Йосип,Васильович,Чоловік,1987-10-27,Кінорежисер,місто Долинська,"парк Оборони Ленінграду, буд. 68, Апостолове, 17389",010 889 39 16,maryna36@example.com
Затула,Леонід,Олегович,Чоловік,1940-10-29,Музикант,місто Рожище,"парк Київське, буд. 2 кв. 58, Рахів, 46254",+380 29 954-97-70,demianshynkarenko@example.org
Коваленко,Пилип,Дмитрович,Чоловік,2002-05-24,Реставратор,село Виноградів,"шосе Лінія 26-та, буд. 27 кв. 7, Брянка, 59306",+380 77 257 11 87,ievhen09@example.net
Данилюк,Орися,Миколаївна,Жінка,1976-05-21,Ґрунтознавець,село Часів Яр,"площа Щіпний, буд. 898, Охтирка, 06681",+380 82 780-11-03,andriichukustym@example.com
Савенко,Спас,Володимирович,Чоловік,1958-11-23,Етнограф,місто Ходорів,"шосе Прохоровський, буд. 8 кв. 6, Угнів, 11384",627 67 02,sviatoslavaderehus@example.com
Чумак,Людмила,Петрівна,Жінка,1944-02-26,Астронавт,місто Кривий Ріг,"проспект Марії Демченко 2-й, буд. 00 кв. 3, Очаків, 92775",+380 (58) 250-86-80,huziivalentyna@example.net
Височан,Борис,Степанович,Чоловік,1954-05-15,Євнух,місто Красноград,"шосе Сергія Ядова, буд. 4, Антрацит , 95577",+380 81 554-91-11,sofiia90@example.net
Дейсун,Зиновій,Георгійович,Чоловік,1983-09-25,Електрик,селище Бібрка,"шосе Іцхака Рабіна, буд. 1, Тернівка , 35751",+380 38 641-03-72,andrii04@example.org
